Marque,reporting+70,Trage,SEGMENT_MODOP,PVFP,CAYVP,NBSTIONS,NBVERSEURS,CAHVP,CAYVPUC,collecte,presta,PM actu,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
MMA Agents,1,+80ans,GP,88464.9487,12662330.2,48515,892,12513184.24,517376.45,13660069.3,10334094.4,92770307.0,,,,,,,,
MMA Agents,1,+80ans,PC,454440.3157,49055577.8,20654,603,49042121.8,2513895.53,50266868.9,41957563.4,358298237.0,,,,,,,,
MMA Agents,1,+80ans,PP,5494.495066,983894.24,962,26,980221.6,31120.0,1010300.03,592488.468,5631955.08,,,,,,,,
MMA Agents,0,0-30ans,GP,261955.6157,7797338.62,36202,2234,7460292.54,1431637.54,11005976.0,572871.432,158700236.0,,,,,,,,
MMA Agents,0,0-30ans,PC,921692.1788,14089488.6,4739,615,14001671.42,3406906.5,14631707.0,214858.34,293846607.0,,,,,,,,
MMA Agents,0,0-30ans,PP,8177.500766,399456.86,815,95,354884.42,124091.84,571468.103,2799.2843,5442188.32,,,,,,,,
MMA Agents,0,30-40ans,GP,486326.447,7938757.1,30309,1412,7549270.4,2105173.37,14373128.2,1916368.41,191858304.0,,,,,,,,
MMA Agents,0,30-40ans,PC,858730.1229,11968448.7,1505,239,11901954.9,3844073.9,12420528.1,689986.374,249869152.0,,,,,,,,
MMA Agents,0,30-40ans,PP,33539.61454,554779.52,287,64,504740.71,167815.15,864412.603,45406.6363,15121352.0,,,,,,,,
MMA Agents,1,40-50ans,GP,904036.3506,13059994.8,51814,2379,12345805.0,2832853.9,22063979.2,4186689.93,347045558.0,,,,,,,,
MMA Agents,1,40-50ans,PC,1856072.6,25950100.0,4489,784,25763550.0,7743272.9,27215536.1,4420807.64,584367223.0,,,,,,,,
MMA Agents,1,40-50ans,PP,110202.8625,1655285.92,1089,220,1550428.64,733489.21,2255295.02,319900.755,41937358.9,,,,,,,,
MMA Agents,0,50-60ans,GP,1204291.701,23798110.0,73818,3452,22659750.0,4257205.7,33018595.1,10684595.9,553434689.0,,,,,,,,
MMA Agents,0,50-60ans,PC,3908578.832,63569679.0,12424,1813,63128300.0,15578357.0,66630485.1,25173049.8,1384968773.0,,,,,,,,
MMA Agents,0,50-60ans,PP,123666.4389,3172906.5,1942,283,3066630.85,792035.69,3725909.31,830947.466,56296697.1,,,,,,,,
MMA Agents,0,60-70ans,GP,1137562.923,39730438.0,79810,2905,38952551.0,4676153.6,44863643.8,20224106.3,652500145.0,,,,,,,,
MMA Agents,0,60-70ans,PC,4686971.02,106806464.0,20191,2004,106511511.0,24400129.0,108689955.0,57429573.6,1837319792.0,,,,,,,,
MMA Agents,0,60-70ans,PP,67941.46527,2561263.2,1825,163,2518208.0,533200.02,2817946.6,873881.884,34542231.8,,,,,,,,
MMA Agents,1,70-75ans,GP,223801.8337,10937787.0,40217,946,10669409.0,1345861.4,12775039.5,7041606.25,153002499.0,,,,,,,,
MMA Agents,1,70-75ans,PC,1122629.789,34652902.0,12698,612,34600477.0,7437842.0,35809709.5,23183505.6,492867329.0,,,,,,,,
MMA Agents,1,70-75ans,PP,9003.42931,526258.53,841,45,524218.13,108111.91,540724.361,169789.22,4953299.02,,,,,,,,
MMA Agents,1,75-80ans,GP,82955.52452,6382374.1,24654,579,6193093.0,539438.4,6351186.28,3990428.82,63988609.9,,,,,,,,
MMA Agents,1,75-80ans,PC,325202.7547,16847160.0,8801,316,16835876.0,2503994.8,14891484.4,10601520.8,170676512.0,,,,,,,,
MMA Agents,1,75-80ans,PP,6026.586196,434667.45,459,18,430975.63,86848.33,424217.403,178279.406,3496113.2,,,,,,,,
MMA Banque,1,+80ans,PC,10578.52825,819396.66,6277,41,815908.86,0.0,860767.607,761826.28,5965970.21,,,,,,,,
MMA Banque,0,0-30ans,PC,0.0,0.0,13,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
MMA Banque,0,30-40ans,PC,0.0,0.0,68,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
MMA Banque,1,40-50ans,PC,0.0,0.0,163,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
MMA Banque,0,50-60ans,PC,4721.562733,99301.9,1566,8,98648.28,0.0,103940.804,51326.5481,2650570.06,,,,,,,,
